match_id,team_id,cross_line,auton_ci_switch,auton_ci_scale,auton_cube_count,cube_count,cube_switch,cube_scale,cube_vault,fouls,tech_fouls,endgame_action,helping_robot,comments
1,5623,False,False,False,0,0,0,0,0,0,0,2,False,
1,862,False,False,False,0,0,0,0,0,0,0,2,False,
1,862,False,False,True,1,6,0,3,0,0,0,2,False,"Performed well, carried the red team"
2,6101,False,False,False,0,0,0,0,0,0,0,1,False,n/a
3,3875,True,True,False,0,5,1,1,0,0,0,2,False,
4,830,False,False,False,0,2,0,0,0,0,0,2,False,wow830wow
5,3536,True,True,False,0,2,0,0,2,0,0,2,False,
6,3655,False,False,False,0,2,1,0,1,0,0,2,False,
7,1528,False,False,False,0,1,1,0,0,0,0,2,False,cube stopped on the edge:)
8,4327,True,False,False,0,2,0,0,0,0,0,2,False,
9,5066,False,False,False,0,0,0,0,0,0,0,0,True,
10,5225,False,False,False,0,0,0,0,0,0,0,2,False,This is just a drivetrain lol I dont know what they were planning. Half way through they stopped moving.
11,5263,True,True,False,0,6,0,0,6,0,0,2,False,"This robot is very effecetive at getting cubes from the stack and depositing them into the vault. If we strategically need a robot for getting cubes in the vault, then this robot would be good. Also, 3604 is a good robot"
12,5523,True,False,False,0,3,3,0,0,0,0,0,False,2 cubed in opponents switch
13,5090,False,False,False,0,8,0,0,8,0,0,2,False,
14,6528,True,False,False,0,0,0,0,0,1,0,2,False,cant pick up cubes
15,2676,True,False,False,0,0,0,0,0,0,0,1,False,
16,5090,True,False,False,1,3,4,0,0,0,0,1,False,
17,815,True,False,False,0,0,0,0,0,0,0,2,False,KNOCKED OVER!!!
18,5523,True,False,False,0,2,2,0,0,0,0,1,False,
19,5205,True,False,False,0,0,0,0,0,0,0,2,False,couldnt move after auton
20,5225,False,False,False,0,0,0,0,0,0,0,2,False,ssy hello to totebot
21,3536,True,True,False,0,4,3,1,0,1,0,0,False,
22,6618,True,False,False,0,10,1,0,9,0,0,0,False,
23,280,False,False,False,1,1,0,0,2,0,0,2,False,intake is unreliable
24,4810,False,False,False,1,2,0,0,1,0,0,1,False,
25,1023,True,True,False,1,5,0,4,0,0,0,0,False,
26,862,True,True,False,0,5,0,5,0,0,0,1,False,
28,6852,True,False,False,0,8,1,0,8,0,0,2,False,
29,4453,False,False,False,1,1,2,0,0,0,0,1,False,couldnt see the robot well
31,5066,False,False,False,0,0,0,0,0,0,0,2,False,
32,1023,False,False,False,0,3,0,3,0,0,0,1,False,
41,6029,True,False,False,0,6,1,0,6,0,0,1,False,rainbow stop it
42,6101,True,False,False,0,0,0,0,0,0,0,1,False,stop it get some help
43,6528,True,False,False,0,4,4,0,0,0,0,1,False,
44,4327,True,False,False,0,6,0,0,6,0,0,1,False,
45,4216,True,False,False,0,3,4,0,0,0,0,1,False,
46,4405,True,True,False,0,5,4,1,0,0,0,1,False,jerry just jerry
47,5523,True,False,False,0,4,4,0,0,0,0,0,False,
48,6528,True,False,False,0,0,0,0,0,0,0,1,False,
49,6852,True,False,False,0,0,0,0,0,0,0,1,False,
51,1528,True,False,False,0,3,2,0,0,0,0,2,False,
52,815,True,False,False,1,3,3,0,0,0,1,1,False,"Had trouble seeing the robot, could of done more"
53,1188,True,False,False,1,2,2,1,0,0,0,2,False,Its a speedy fast boi
54,3604,False,False,False,0,0,0,0,0,0,0,2,False,
55,7225,False,False,False,0,0,0,0,0,0,0,2,False,
56,6852,False,False,False,0,0,0,0,0,0,0,2,False,
55,7225,True,False,False,0,0,0,0,0,0,0,2,False,
55,7225,False,False,False,0,0,0,0,0,0,0,2,False,
60,4810,True,False,False,0,2,1,0,0,0,0,1,False,
61,6914,True,False,False,0,0,0,0,0,0,0,2,False,
62,123,False,False,False,0,0,0,0,0,0,0,2,False,
63,4405,True,True,False,1,5,3,2,0,0,0,0,False,
64,4216,True,True,False,1,4,2,1,1,0,0,2,False,
65,4384,True,True,False,0,1,0,2,0,0,0,2,False,water game
66,3655,True,False,False,1,7,2,0,5,0,0,1,False,
67,4405,True,False,False,1,5,0,1,5,0,3,1,False,jerry
68,7174,True,False,False,0,3,0,3,0,0,0,1,False,
69,4810,True,False,False,0,6,2,0,4,0,0,1,False,stop it
70,4453,True,False,False,0,0,0,0,0,0,0,1,False,
71,6029,True,False,False,0,1,0,0,0,0,0,2,False,stopped moving after auton
72,2834,True,False,True,1,6,1,1,4,0,0,1,False,
73,830,True,False,False,0,5,2,0,3,0,0,2,True,
