Timestamp,Team Number,Match Number,Crosses the auto line (auto-run),Switch capabilities,Scale capabilities,Number of cubes in auton,Number of Cubes on Own Switch,Number of Cubes on Scale,Number of Cubes in Exchange,Climb,Played Good Defense,Extra Notes,Number of Cubes on Opponent's Switch
3/17/2018 10:42,66,71,Yes,From center,No,1,0,1,6,Parked,,,0
3/16/2018 11:28,66,3,No,No,No,0,1,0,6,No,No,,0
3/16/2018 16:00,66,27,Yes,Same side,Yes,0,0,4,0,Parked,No,,0
3/16/2018 18:51,66,46,Yes,No,Yes,1,0,4,0,Parked,No,Put on scale when they should've put on switch,1
3/17/2018 9:36,66,61,Yes,No,Yes,0,2,3,0,Failed to climb,No,,0
3/16/2018 12:23,66,9,No,Same side,No,0,0,4,0,No,No,Bad mechanism,0
3/16/2018 17:07,66,34,Yes,No,No,0,0,4,0,Parked,No,Autos not seen,0
3/16/2018 20:14,66,58,Yes,Same side,No,1,1,2,0,Parked,No,,0
3/16/2018 15:00,66,20,Yes,No,No,0,0,0,0,No,Yes,,0
3/16/2018 19:10,66,49,Yes,No,Intended but failed,0,0,2,0,Parked,No,Grabber stopped half way through,0
3/16/2018 14:29,66,17,Yes,No,Failed,0,0,2,0,Parked,No,,2
3/16/2018 17:14,453,35,Yes,No,No,0,0,0,9,No,No,Very efficient exchange bot,2
3/17/2018 10:09,453,66,Yes,No,No,0,1,0,9,No,No,,0
3/16/2018 19:44,453,54,Yes,No,No,0,0,0,8,Yes,Yes,,0
3/17/2018 9:40,453,62,Yes,No,No,0,2,0,8,No,No,Didn’t move for half of game after auton,0
3/16/2018 16:32,453,30,Yes,No,No,0,4,0,3,Parked,Yes,,0
3/16/2018 18:04,453,40,No,No,No,0,1,0,3,Parked,No,None,0
3/16/2018 11:12,453,2,Yes,Same side,No,0,0,0,0,Parked,No,,3
3/16/2018 19:10,453,49,No,No,No,0,2,0,0,No,No,bad. they should feel bad,2
3/16/2018 15:54,454,26,Yes,No,No,0,1,0,10,Parked,No,,0
